catchment,longitude,latitude,mean_sp,mean_ai,mean_si,bfi,q5Frac,low_fdc,q95Frac,high_fdc
914,-93.48353,41.07717,19.22846577,0.951998133,0.448111924,0.257768259,0.007792176,8.366251609,4.219178174,8.898494206
915,-93.18416,41.20208,20.87446408,0.954699966,0.43557599,0.235303061,0.00577607,8.035295898,3.677650166,8.844250078
916,-93.01767,41.05913,19.19377825,0.966810442,0.420811393,0.229080361,0.007317875,7.449899976,3.851347003,9.148575634
917,-92.1206,40.62587,16.17403765,1.001525937,0.357279312,0.228290644,0.005540748,8.503338325,4.871018516,10.3865686
918,-91.19345,40.20244,13.96676838,0.989998002,0.267414757,0.194883964,0.001494012,12.64054532,4.695465108,10.8737798
919,-91.85982,39.81869,11.65934082,1.005491305,0.271986675,0.22379091,0.006696382,7.960841632,4.638469731,10.12409733
920,-91.46657,39.41802,10.6745961,1.003352173,0.210591571,0.203459981,0.001255991,12.99822445,4.166859958,10.13454491
921,-91.31462,39.11872,9.892464987,0.991113748,0.184305632,0.218537017,0.00603138,8.343109441,4.209826286,9.518791655
922,-87.69909,40.56901,13.5541141,0.847169623,0.201617986,0.362002517,0.025951785,7.199964316,4.455056482,7.269693709
923,-89.29558,41.55567,21.23030045,0.876410382,0.29592306,0.467327119,0.01901448,8.7096878,3.48412375,5.564485607
924,-90.88143,40.49562,16.41381364,0.96167123,0.289374606,0.362386214,0.015420261,7.80375799,4.486388943,7.961749095
925,-90.82241,40.36477,15.24806498,0.961984989,0.277534032,0.379823867,0.022921875,6.303285207,5.410320217,8.774219394
926,-88.88066,39.47326,12.12481088,0.914076074,0.128655623,0.312160157,0.003570092,11.40058783,3.777387797,7.452602739
927,-89.3658,38.38621,7.72937824,0.896038424,0.048474544,0.121725012,0.002716185,8.916471764,5.593078327,13.27255832
928,-89.32379,39.24096,10.90395835,0.91992149,0.130005957,0.188295392,0.00089185,14.96588762,4.352229429,10.18991956
929,-110.78422,44.58498,71.11026917,0.83055112,-0.206471726,0.896313939,0.734894057,0.440003581,1.826553542,2.5232162
930,-111.22098,45.19387,72.40497499,0.865752911,0.126320189,0.680253794,0.309241353,1.08378112,3.669835146,6.364304237
931,-110.10971,44.90139,76.83795512,0.834724076,-0.1370723,0.517674032,0.097653845,1.79580088,4.948879852,9.375967702
932,-110.28805,44.67042,75.78230182,0.818379217,-0.165836961,0.671329865,0.211318337,1.625923409,3.8977925,6.228448374
933,-109.57356,43.27801,81.39658184,0.766839808,0.119754445,0.628865292,0.039882667,3.389191442,3.751069812,4.455346863
934,-109.42326,43.08602,83.81621562,0.753136005,0.167890565,0.594039619,0.059034996,3.342491315,4.09555285,6.066351034
935,-107.34573,44.49079,86.60218883,0.632652365,0.328578069,0.403889471,0.066112233,2.120111323,5.53183991,11.03224249
936,-109.66937,44.02544,81.89964823,0.782856506,-0.067054858,0.599718314,0.15392953,1.719396256,4.358303425,7.346843428
937,-107.70408,44.88307,71.5729022,0.882979882,0.245879652,0.692267748,0.340810874,1.253686283,3.583044384,6.204279667
938,-107.08611,44.09419,75.34214504,0.909471451,0.377838675,0.508659258,0.103798071,1.90677047,4.939812918,9.16267737
939,-102.83901,47.74909,33.71254282,1.751964488,0.604229646,0.215344232,0.012541811,5.123735382,3.840302392,12.57608661
940,-103.00956,47.27559,32.01971589,1.769742671,0.586888,0.223120536,0.006118512,9.328575581,3.294206777,10.51043011
941,-102.5133,47.11313,30.43635855,1.742377261,0.583685622,0.296169106,0.014494114,6.938404222,3.490665754,9.196523433
942,-102.93482,46.50567,29.47070524,1.816661761,0.567943607,0.265886077,0.029815489,4.536475909,2.573140282,9.375203689
943,-102.95035,46.28588,29.21141457,1.827312133,0.569448441,0.253557295,0.011680947,6.420322428,2.793269819,10.31287531
944,-102.14404,46.27989,28.55873821,1.768835053,0.580430116,0.341766065,0.003558879,11.66275826,3.450157024,9.055585634
945,-103.38353,43.84779,26.38354973,1.421840802,0.606934227,0.695868325,0.098145948,4.758632868,2.155974666,3.379541256
946,-103.88571,44.12793,58.4085564,0.960644727,0.479135242,0.975570749,0.562466307,1.09823815,1.438947546,0.694902061
947,-103.8816,44.0179,57.71825134,1.041068001,0.500028164,0.874598287,0.446767995,1.917109064,1.922351107,2.196818547
948,-103.92124,44.30712,56.22725952,1.093019334,0.419658878,0.88163094,0.548281478,1.182542468,1.670439883,1.753019724
949,-102.56251,43.2028,23.705655,1.994178272,0.439576902,0.34449721,0.006141395,11.68184658,4.174664023,8.26478526
950,-101.97741,43.11077,23.04321711,1.81874777,0.457905236,0.671184618,0.247423171,2.491771688,2.76473473,4.423234222
951,-101.27464,43.22038,23.09264551,1.76780626,0.474085176,0.727483598,0.325048551,2.192405071,2.2651467,3.42266444
952,-101.66486,43.34051,23.01064868,1.86634237,0.468055388,0.437794127,0.052075716,4.745271476,3.905678735,7.460762989
953,-99.05098,43.01527,23.74263253,1.450030059,0.524098514,0.45444296,0.007649405,10.68123949,3.834051727,7.604176106
954,-100.25694,43.11313,22.772802,1.624765609,0.500999839,0.602834989,0.179818651,3.029467093,3.128477552,5.257804822
955,-99.489,47.58748,39.45297815,1.353644321,0.633153375,0.390216818,0.000402498,17.52810654,4.50797831,10.69614819
956,-98.14881,46.53032,39.26847542,1.299418316,0.634020955,0.379457036,0.002451388,8.379782913,3.585154954,9.838355367
957,-98.52748,43.83596,26.77157921,1.386113981,0.560736626,0.257680363,0.000191061,13.32881804,4.052405697,15.74738113
958,-97.14514,45.26566,39.2558261,1.177322694,0.579196554,0.383505733,0.004850123,6.870605988,4.296516345,8.478474748
959,-97.18702,45.16573,38.45626422,1.201832709,0.578271598,0.406409006,0.004346739,9.55838588,4.407988389,8.771009192
960,-96.54116,42.21661,22.88623254,1.101582648,0.546738622,0.739435221,0.261191241,2.541553386,2.18547773,2.952170002
961,-105.87174,40.48575,91.16972479,0.842100512,0.039156157,0.496807335,0.089012233,1.723131664,5.412628494,9.420710172
962,-106.45331,41.39968,77.70297921,1.071265125,0.011342771,0.482066809,0.145233856,1.244762272,5.655071473,10.87547465
963,-106.75427,40.96984,78.92870964,0.889359863,-0.088153232,0.519308354,0.135783828,1.571545304,5.152147624,9.652259731
964,-106.23563,41.47127,80.22717548,0.904351613,0.200114452,0.455010106,0.099912133,1.338556222,5.776970781,11.18040757
965,-105.88476,40.52941,87.05336127,0.866929139,0.058537027,0.480600883,0.053515354,2.543955067,5.718214681,9.591165168
966,-99.71753,41.3055,17.22074025,1.553373507,0.537352736,0.718040011,0.262907227,3.473531164,2.088871009,2.881592202
967,-96.7152,40.95361,16.00040945,1.213666912,0.504174609,0.431419304,0.143729312,2.969672918,2.170457786,4.865246863
968,-96.6707,41.06547,17.56236987,1.185752946,0.513261991,0.441274903,0.127480935,3.042136797,2.431888036,5.405585685
969,-96.2556,40.08843,15.04057617,1.166826643,0.514221104,0.289479068,0.006477138,9.206860598,3.42067984,8.63661998
970,-98.46654,39.911,13.21989905,1.475869529,0.523506023,0.338980515,0.003116439,12.95247228,2.360035085,5.942295701
971,-98.0959,39.21838,9.589124544,1.565182172,0.511106452,0.32729414,0.013522896,7.667690449,3.822472025,9.627591758
972,-97.27578,39.19349,9.806880562,1.387484828,0.518340656,0.344118891,0.081677899,3.223770699,2.80386816,7.418241482
973,-96.31728,39.77304,13.93984255,1.185042524,0.503319169,0.261702483,0.023638004,5.411385708,3.602929376,9.464077007
974,-96.31369,38.95412,8.894506963,1.171877417,0.487817765,0.375448321,0.03196723,4.916082973,3.048359149,6.290341209
975,-95.91898,39.40967,10.56623108,1.153630773,0.467099337,0.259553347,0.009061809,8.563577284,3.0771862,8.269940406
976,-95.86072,39.32148,10.21576371,1.15377102,0.459412631,0.260235281,0.006728636,10.29999877,3.078860712,8.142585951
977,-95.18342,39.34979,12.2400053,1.08834968,0.431557249,0.24523261,0.008458004,9.230031618,4.557228949,9.709882912
978,-93.44752,40.91745,18.82153211,0.953941405,0.444190599,0.18653462,0.000317861,15.97072363,5.9128452,12.17181578
979,-93.13386,38.56512,8.897101134,0.988917915,0.257379072,0.2064251,0.010401547,6.556153529,3.638309398,9.185875464
980,-94.97615,38.01957,7.61877394,1.081388739,0.328528085,0.217915373,0.000231672,18.93894156,4.24732609,9.551779768
981,-93.73992,37.2418,5.92282823,0.982877899,0.166343481,0.507486266,0.079497687,4.090397007,3.197118306,5.100220937
982,-93.99149,37.64113,6.262925424,1.025156088,0.218561351,0.265210943,0.000685803,16.49167174,4.025365096,8.735917402
983,-93.18724,37.46792,6.601607804,0.997818262,0.142319496,0.343751065,0.024602144,5.960989668,3.480978463,6.737651422
984,-93.18296,37.68839,6.547002297,1.010711289,0.152095632,0.26519515,0.002174294,13.28933813,3.063036105,7.163490205
985,-92.2172,37.57759,5.163511183,0.986387367,0.119986425,0.495383803,0.163564769,2.107157899,3.058849184,5.353960156
986,-91.3531,37.81983,4.980613761,0.980032044,0.101993332,0.526509003,0.197238337,2.077798985,2.874709935,4.964858263
987,-93.11556,35.93055,3.61232455,0.955114729,0.034674891,0.39823193,0.02697495,5.60917881,3.585057806,6.071543556
988,-92.10894,36.85725,4.902232638,0.967527677,0.042221996,0.664556062,0.362171985,1.186158105,2.281296848,3.670816639
989,-92.28132,36.04117,3.761852021,1.01419404,0.031978602,0.323988722,0.058743081,3.313287836,3.284974931,7.214375708
990,-91.65536,37.0933,4.270811414,0.960310632,0.066978067,0.569407884,0.24943103,1.581860099,2.71768137,4.628566019
991,-91.47548,37.22114,4.396975114,0.955500756,0.067231826,0.651263614,0.32490155,1.398516468,2.611688914,4.165815499
992,-91.38675,37.1495,4.298244359,0.950136046,0.054092979,0.68943382,0.393932433,1.117533079,2.324852483,3.590798966
993,-91.54155,36.85366,4.375318366,0.946756972,0.032521025,0.719183841,0.3123478,2.116430674,2.178366573,3.126410404
994,-106.45968,39.15028,82.40580182,0.673024566,0.16833255,0.589523861,0.11596132,2.018224043,4.638452796,7.405241795
995,-97.5656,37.37125,5.804780371,1.487188386,0.400575597,0.166995522,0.016160345,6.169993719,3.62096363,10.94222483
996,-99.03979,37.10984,5.178128724,2.007606938,0.433694989,0.485293562,0.011595288,11.78388306,3.120032954,5.668137796
997,-98.84362,37.38117,5.079595726,1.914890809,0.441783382,0.587500257,0.009972403,15.02211087,2.50814132,4.071990088
998,-98.08738,37.39766,5.275814909,1.652504631,0.42191802,0.429950129,0.049904872,6.501179383,2.98319464,6.08289183
999,-96.37992,37.67957,5.365326399,1.199184969,0.41329445,0.206341359,0.000574823,16.35509407,3.171106714,9.167070719
1000,-96.77742,38.13105,7.066113471,1.313925765,0.461361082,0.316097132,0.017765534,7.506673466,2.45684339,6.324153752
1001,-94.40074,36.28178,3.457674876,1.032844138,0.118087655,0.508563772,0.184321906,2.569816265,2.874160217,5.488040533
1002,-94.42183,35.88244,2.85502163,0.951470219,0.076707533,0.363201283,0.014122314,8.12260551,3.272790282,6.479060106
1003,-94.59373,35.92054,2.692679008,0.995862957,0.079604569,0.442300616,0.086144907,3.462189768,3.151642928,5.740338101
1004,-105.12278,36.39679,45.63230424,1.187261782,0.63901674,0.619455477,0.174404083,2.603251267,3.795322012,6.461153304
1005,-92.25418,35.41851,2.512120904,0.947572013,-0.104547529,0.375207399,0.000935918,16.95013859,3.638803282,6.328122252
1006,-90.71334,31.65003,0.670278739,0.959145166,-0.06216784,0.363414613,0.155106017,1.51093478,2.968092829,6.722614924
1007,-90.8272,31.50518,0.50813067,0.953966218,-0.059391837,0.445025235,0.189088685,1.864757029,3.50725917,6.486210392
1008,-91.18492,31.17087,0.545455883,0.923629866,-0.038471479,0.32243022,0.092474512,2.493336531,3.582226436,7.372211054
1009,-99.96767,34.36296,1.254950267,2.591217201,0.295345591,0.418952619,0.173856823,2.730800762,1.56631747,4.395474664
1010,-100.36455,35.51673,4.621203204,2.59921977,0.393746806,0.6128747,0.018528447,10.54116339,2.604709596,3.548571017
1011,-94.17029,34.42473,1.680971784,0.88441559,-0.087571689,0.315261351,0.058044155,3.323346333,3.902778417,7.547145612
1012,-93.70034,34.44378,1.920773425,0.892536068,-0.058530032,0.412459982,0.111281774,3.086475184,3.229063993,5.903508861
1013,-92.98727,33.38465,1.280008988,0.92401687,-0.113487994,0.319942504,0.002231241,11.98727928,4.542602687,8.444167911
1014,-92.48152,31.57295,0.286119964,0.9748163,-0.112872225,0.433879955,0.137165726,3.047397586,3.027247052,5.99379968
1015,-90.26352,30.77443,0.721936308,0.877469697,0.056776175,0.449153219,0.254420754,1.254630235,3.079830178,6.377340577
